Building,Year,Livable_Space,Volume,FloorCount,RoomCount,NonRoomCount,BuildingArea,City
101014865,1972,1589.9,4519.0,6,71,0,406.6,Tallinn
101004814,1988,1648.8,8175.0,6,72,0,426.9,Tartu
101004816,1974,1647.2,8135.0,6,72,0,425.3,Tartu
120850487,2019,2443.0,11500.0,7,124,56,649.2,Rakvere
120850569,2019,3121.4,14200.0,8,157,71,645.2,Rakvere
120789649,2019,4060.9,18800.0,9,186,71,778.5,Tartu
101010707,1961,379.8,3115.0,2,18,0,314.9,Tallinn
101010708,1961,379.8,2770.0,2,18,0,309.1,Tallinn
101015366,1947,374.4,2626.0,2,18,0,314.5,Tartu
101044109,1946,284.6,1483.0,2,18,0,169.1,Valga
101034311,1946,290.6,1475.0,2,18,0,171.2,Valga
101023002,1939,290.5,1475.0,2,18,0,169.1,Tallinn
